number,price,shipping,priceShipping,numBids,numBidders,topSellerPlus,itemNumber,sellerName,positiveFeedbackRate,sellerScore,winningBid,endTime,lastBid,minPast,daysDuration,minsDuration,lastPercentage
50,390.00,7.95,397.95,50,26,0,224272600165,1dollaheiny,99.7,25168,390.00,14/12/20 9:32:36 PM,13/12/20 9:03:33 PM,1469,5,7200,20.40
51,355.00,11.95,366.95,4,3,0,353310064642,mavekei62,100,1,355.00,14/12/20 8:35:32 AM,14/12/20 1:14:12 AM,441,7,10080,4.38
52,375.00,0,375.00,58,25,0,114562341756,amspecial_73,100,1617,375.00,13/12/20 7:34:34 PM,09/12/20 7:42:06 AM,6472,7,10080,64.21
53,350.00,10,360.00,1,1,0,254804171937,girishdhameja13,0,9,350.00,13/12/20 10:00:38 AM,13/12/20 1:05:48 AM,535,3,4320,12.38
54,350.00,15,365.00,15,8,0,154231725183,aldridge403,95,90,350.00,12/12/20 4:57:12 AM,12/12/20 4:56:21 AM,1,5,7200,0.01
55,370.00,0,370.00,42,8,0,193774205071,crazycazboys,97.6,64111,370.00,10/12/20 4:08:18 PM,10/12/20 4:04:09 PM,4,10,14400,0.03
56,375.00,0,375.00,39,20,0,383844062444,xcesslimited2013,98.7,93122,375.00,10/12/20 9:57:22 AM,10/12/20 9:57:09 AM,0,5,7200,0.00
57,375.00,8.85,383.85,15,7,0,284099288191,jpostal,100,356,375.00,07/12/20 5:00:01 PM,07/12/20 4:23:59 PM,36,7,10080,0.36
58,352.52,15,367.52,20,10,0,154223456941,aldridge403,95,90,352.52,07/12/20 6:13:33 AM,07/12/20 6:12:26 AM,1,5,7200,0.02
59,349.00,14.84,363.84,1,1,0,133598960484,girliesmile2183,100,226,349.00,06/12/20 6:27:37 PM,06/12/20 6:27:37 PM,0,7,10080,0.00
60,349.00,14.84,363.84,1,1,0,133598849398,girliesmile2183,100,226,349.00,06/12/20 4:28:09 PM,06/12/20 4:28:09 PM,0,7,10080,0.00
