"product_name","product_url","product_price","product_time_ended","product_number_of_bids","product_duration","product_end_time","product_bidders","product_feedback_name","product_feedback_url"
"Apple iPad Mini 5th Gen MUQW2LL/A 64GB Space Gray Wifi","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Gen-MUQW2LL-A-64GB-Space-Gray-Wifi/143953073627?hash=item21844595db%3Ag%3AVhUAAOSwB1RgKsN5&LH_Auction=1&LH_ItemCondition=1000","$348.00","Feb-21 15:57","8 bids","","","","",""
"NEW Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/NEW-Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/154329610175?epid=9030594179&hash=item23eec2f7bf%3Ag%3AwIAAAOSwwnlgJ0EG&LH_Auction=1&LH_ItemCondition=1000","$345.00","Feb-19 19:04","16 bids","7 days","19 Feb 2021 at 7:04:40pm PST","8","User ID
vgur2419 (
Feedback score
27)",""
"NEW Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/NEW-Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/154329610175?epid=9030594179&hash=item23eec2f7bf%3Ag%3AwIAAAOSwwnlgJ0EG&LH_Auction=1&LH_ItemCondition=1000","$345.00","Feb-19 19:04","16 bids","7 days","19 Feb 2021 at 7:04:40pm PST","8","User ID
vgur2419 (
Feedback score
27
)",""
"NEW Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/NEW-Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/154329610175?epid=9030594179&hash=item23eec2f7bf%3Ag%3AwIAAAOSwwnlgJ0EG&LH_Auction=1&LH_ItemCondition=1000","$345.00","Feb-19 19:04","16 bids","7 days","19 Feb 2021 at 7:04:40pm PST","8","User ID
vgur2419","https://www.ebay.com/usr/vgur2419"
"NEW Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/NEW-Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/154329610175?epid=9030594179&hash=item23eec2f7bf%3Ag%3AwIAAAOSwwnlgJ0EG&LH_Auction=1&LH_ItemCondition=1000","$345.00","Feb-19 19:04","16 bids","7 days","19 Feb 2021 at 7:04:40pm PST","8","User ID","https://www.ebay.com/usr/vgur2419"
"NEW Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/NEW-Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/154329610175?epid=9030594179&hash=item23eec2f7bf%3Ag%3AwIAAAOSwwnlgJ0EG&LH_Auction=1&LH_ItemCondition=1000","$345.00","Feb-19 19:04","16 bids","7 days","19 Feb 2021 at 7:04:40pm PST","8","Feedback score
27","http://feedback.ebay.com/ws/eBayISAPI.dll?ViewFeedback2&userid=vgur2419&ftab=AllFeedback&myworld=true&rt=nc&_trksid=p2545226.m2531.l4585"
"NEW Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/NEW-Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/154329610175?epid=9030594179&hash=item23eec2f7bf%3Ag%3AwIAAAOSwwnlgJ0EG&LH_Auction=1&LH_ItemCondition=1000","$345.00","Feb-19 19:04","16 bids","7 days","19 Feb 2021 at 7:04:40pm PST","8","Feedback score","http://feedback.ebay.com/ws/eBayISAPI.dll?ViewFeedback2&userid=vgur2419&ftab=AllFeedback&myworld=true&rt=nc&_trksid=p2545226.m2531.l4585"
"NEW Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/NEW-Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/154329610175?epid=9030594179&hash=item23eec2f7bf%3Ag%3AwIAAAOSwwnlgJ0EG&LH_Auction=1&LH_ItemCondition=1000","$345.00","Feb-19 19:04","16 bids","7 days","19 Feb 2021 at 7:04:40pm PST","8","100% positive feedback",""
"Apple iPad Mini 5th Gen MUQW2LL/A 64GB Space Gray Wifi","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Gen-MUQW2LL-A-64GB-Space-Gray-Wifi/143949749468?hash=item218412dcdc%3Ag%3AVhUAAOSwB1RgKsN5&LH_Auction=1&LH_ItemCondition=1000","$355.00","Feb-18 10:59","8 bids","","","","",""
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi + 4G (Unlocked), 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-4G-Unlocked-7-9in-Space-Gray/402684755220?epid=27030598070&hash=item5dc1e1bd14%3Ag%3ANWsAAOSwe7VgIrOo&LH_Auction=1&LH_ItemCondition=1000","$380.00","Feb-16 15:02","75 bids","7 days","13 Feb 2021 at 7:32:37pm PST","23","User ID
camilojarroyo",""
